id,seed_number,title,level,score,state,reason
0a2998ac-8233-4868-a688-0bb461cc98b7,1,SEED: s43856-025-01156-3.pdf,1,10,Processed,"This paper is principally about pharmacogenomics: it directly examines CYP2C19 loss-of-function variants (rs4244285 *2 and rs4986893 *3), uses genetic data (genotyping/WES) to predict CYP2C19 metabolizer status, and tests whether family history of early amitriptyline discontinuation enriches for pharmacogenomic risk. The study’s objective, analyses, results (significant enrichment of genetically predicted poor CYP2C19 metabolizers), and clinical implications (flagging patients for targeted PGx testing) all center on pharmacogenetic approaches."
e58f2ec3-09e6-4b60-aa91-dc13414fc65a,2,SEED: fphar-14-1080117.pdf,1,10,Processed,"The paper directly investigates pharmacogenetics — specifically CYP2D6 and CYP2C19 genotypes/phenotypes — and their clinical utility in antidepressant response (ADRs and ineffectiveness). It uses genotyping, CPIC guideline-based phenotype translation, and analyzes gene–drug–response actionability, so pharmacogenetics is the primary focus."
ff10e3a0-dd19-49a0-8eed-cf60bea95f07,1,"Pirmohamed, M. Pharmacogenomics: current status and future perspectives. Nat. Rev. Genet24, 350–362 (2023).",2,10,Processed,"This editorial is explicitly focused on pharmacogenetics/pharmacogenomics in psychiatry. It discusses PGx concepts (pharmacokinetics vs pharmacodynamics), polymorphic enzymes (e.g., CYP2D6), clinical implementation (PGx benefit score, CPIC-guided prescribing), a systematic review/meta-analysis of PGx-guided antidepressant prescribing, and molecular mechanisms relevant to drug response — i.e., the paper is primarily about pharmacogenetic approaches."
ccc1ae24-0841-4332-998c-39f4a06b154e,1,"McDermott, J. H. et al. Clinical pharmacogenetics implementation consortium guideline for the use of aminoglycosides based onMT-RNR1 genotype.Clin. Pharm. Ther.https://doi.org/10.1002/cpt.2309(2021).",2,10,Processed,"This paper is squarely focused on pharmacogenomics/pharmacogenetics: it develops and benchmarks targeted long-read sequencing approaches (ONT adaptive sampling versus Twist long‑read PGx panel) specifically for genotyping pharmacogenes (e.g., CYP2D6, CYP2C19, NAT2, HLA loci), evaluates star-allele and diplotype calling against GeT‑RM and CPIC-relevant genes, and discusses clinical PGx implementation implications (phasing, structural variant resolution, and phenotype translation). The methods, results, and conclusions all center on improving pharmacogenetic testing accuracy, so the work is primarily about pharmacogenetics."
3eab1903-afa3-4dc0-b0db-eaa7d766c5d6,1,"Haga, S. B. & Orlando, L. A. Expanding family health history to include family medication history.J. Pers. Med.13, 410 (2023).",2,10,Processed,"This case report is primarily about pharmacogenetics: it describes preemptive and reactive PGx panel testing (100 variants/30 genes) across three generations, focuses on CYP2D6 and CYP2B6 genotype→phenotype interpretation, uses PGx results to validate self‑reported family drug-related problems and to guide perioperative analgesic/anesthetic decisions, and discusses CPIC/DPWG/PharmGKB evidence and clinical implementation considerations."
23a532c4-c480-46fa-b5e8-3d2476cabdc8,1,"Hicks, J. et al. Clinical pharmacogenetics implementation consortium guideline (CPIC) forCYP2D6 and CYP2C19 genotypes and dosing of tricyclic antidepressants: 2016 update.Clin. Pharm. Ther.102,3 7–44 (2017).",2,10,Processed,"This is a Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline specifically addressing CYP2D6 and CYP2C19 genotypes and gene-directed dosing of tricyclic antidepressants. The paper centers on translating genotype to phenotype, provides detailed gene-based dosing recommendations, discusses testing interpretation, implementation in EHRs, and clinical implications — i.e., it is primarily about pharmacogenetic approaches."
ae215de0-b85e-46fa-a09e-aaa921c23afe,1,"Magavern, E. et al. CYP2C19 genotype prevalence and association with recurrent myocardial infarction in British-South Asians treated with clopidogrel.JACC Adv.https://doi.org/10.1016/j.jacadv.2023.100573 (2023).",2,10,Processed,"The slides/paper are centrally focused on pharmacogenetics/pharmacogenomics (PGx): defining gene–drug interactions, CYP450 metaboliser variation (CYP2C19, CYP2D6), examples with clopidogrel and other drugs, population prevalence data, ADR mitigation potential, real-world cohort analyses (Genes & Health, British-South Asians), and implementation/ethical/equity issues. The primary aims, data and discussion all revolve around PGx implementation and its effects on prescribing and health equity."
8dec14c0-efdc-491b-a050-09627771f992,2,url:https://doi.org/10.1016/j.neubiorev.2022.104965,2,10,Processed,"This paper is primarily about pharmacogenetics/pharmacogenomics: it is a systematic review and meta-analysis of randomized controlled trials evaluating pharmacogenomic-guided (PGx) antidepressant treatment versus treatment as usual in major depressive disorder. It explicitly discusses PGx tests, decision-support tools, pharmacogenes (e.g., CYP2D6, CYP2C19), and clinical outcomes (remission, response), and draws conclusions about the effectiveness and certainty of PGx-guided care."
4cdbeece-9105-45a1-877c-d11f85492681,2,url:https://doi.org/10.2217/pgs-2018-0142,2,10,Processed,"The paper is explicitly focused on pharmacogenomics/pharmacogenetics: it is a systematic review and meta-analysis of randomized controlled trials assessing pharmacogenomic (PGx)-guided treatment versus treatment-as-usual for major depressive disorder. It discusses PGx tests (single-gene and combinatorial), specific pharmacogenes (CYP2D6, CYP2C19), clinical outcomes (remission, response), and trial-level evidence — i.e., the article primarily evaluates pharmacogenetic approaches."
0a23a5a8-f98a-42b2-859a-f9e992909db0,2,url:https://doi.org/10.1186/s12888-017-1230-5,2,10,Processed,"The paper is explicitly and primarily focused on pharmacogenomics/pharmacogenetics: it is a systematic review and meta-analysis evaluating pharmacogenomic-guided (PGx) antidepressant treatment in major depressive disorder, discusses specific pharmacogenes (CYP2D6, CYP2C19), PGx decision-support tools, CPIC guidelines, and synthesizes RCT evidence on PGx testing outcomes."
4cca0f6c-937a-478c-ab41-1eb9119ac440,2,url:https://doi.org/10.2217/pgs-2019-0157,2,10,Processed,"The paper is centrally focused on pharmacogenomics/pharmacogenetics: it is a systematic review and meta-analysis of randomized controlled trials comparing pharmacogenomic-guided (PGx) antidepressant treatment versus treatment-as-usual for major depressive disorder. It discusses specific pharmacogenes (CYP2D6, CYP2C19), PGx decision‑support tools, CPIC guidelines, and clinical outcomes (remission, response, adverse events), so pharmacogenetic approaches are the primary subject."
d7e6f1ce-40b9-438d-8c53-dddad2d3ad68,2,url:https://doi.org/10.3389/fgene.2020.491895,2,10,Processed,"The editorial is primarily focused on pharmacogenomics in psychiatry: it discusses CYP2C19 and CYP2D6 genetic polymorphisms, their impact on antidepressant/antipsychotic pharmacokinetics and side effects, clinical implementation guidelines (CPIC, DPWG), cost-effectiveness data, and ongoing multicenter pharmacogenetic trials (PSY‑PGx). The entire piece centers on applying pharmacogenetic approaches to personalize psychiatric pharmacotherapy."
ac756e65-18a3-4b5f-b3e4-ac6277d4ef16,2,url:https://doi.org/10.1111/cts.12692,2,10,Processed,"The paper centrally investigates CYP2D6 genotype-to-phenotype translation and activity scores in people with codeine use disorder, compares genotype/phenotype frequencies to a population sample, examines genotype–drug (codeine → morphine) effects on treatment dosing, uses CPIC guidelines and explicit genotyping methods, and discusses pharmacogenomic clinical implications—thus it is primarily a pharmacogenetics study."
61838d88-e9f0-4b3c-8018-773b6aa2a997,2,url:https://cpicpgx.org/genes-drugs/,2,10,Processed,"This CPIC guideline is primarily focused on pharmacogenetics: it systematically reviews genetic variants (CYP2C9, VKORC1, CYP4F2, rs12777823), presents evidence from GWAS and randomized trials (EU-PACT, COAG, GIFT), discusses genotyping, algorithms for genotype-guided warfarin dosing, ancestry-specific recommendations, and clinical implementation — all central pharmacogenetic content."
0c287f39-0fe1-41ba-9232-dd2b91380830,2,url:https://cpicpgx.org/prioritization/#flowchart,2,10,Processed,"This supplement is centrally focused on pharmacogenetics — specifically CYP2C19 genotype effects on clopidogrel pharmacokinetics, pharmacodynamics, clinical outcomes, testing, diplotype-to-phenotype translation, guideline recommendations for genotype-guided therapy, and implementation resources (EHR/CDS). It reviews trials and meta-analyses of genotype-guided antiplatelet strategies, so pharmacogenetic assessment is the primary subject."
2a6e79f9-1f99-4e3f-aa17-8c19087ce81c,2,url:https://doi.org/10.1002/cpt.2149,2,10,Processed,"This document is a Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline focused on CYP2D6, OPRM1, and COMT genotypes and their impact on opioid therapy. It includes systematic literature review of genotype–phenotype associations, genotype interpretation (alleles, activity scores, phenotype translation), and clinical prescribing recommendations (codeine, tramadol, hydrocodone, oxycodone, methadone) based on genetic test results — i.e., it is primarily about pharmacogenetics."
642388b7-a909-49f6-b9ca-613fe0ddaf05,2,url:https://doi.org/10.1016/j.biopha.2022.113202,2,10,Processed,"The paper is primarily about pharmacogenetics: it genotypes CYP2C19 (*2, *3, *17), predicts metabolizer phenotypes, compares genotype-predicted versus measured CYP2C19 activity (phenoconversion), and quantifies drug–drug–gene interaction effects of CYP2C19 inhibitors on phenotype. The study directly assesses how genetic variation and non-genetic factors affect pharmacogenetic phenotype interpretation and DDI-informed prescribing."
